City,State,Population,Latitude,Longitude,High_Feb,High_Jun,High_Dec,Temp_Feb,Temp_Jun,Temp_Dec,Low_Feb,Low_Jun,Low_Dec
Mexico City,Mexico City,9209944,19.4325,-99.13111,23.0,25.0,22.0,16.0,18.0,14.0,8.0,14.0,7.0
Tijuana,Baja California,1810645,32.53472,-117.04361,19.0,23.0,19.0,14.0,18.0,13.0,9.0,16.0,9.0
Ecatepec,State of Mexico,1643623,19.60972,-99.06,23.0,24.0,22.0,15.0,18.0,14.0,8.0,13.0,7.0
León,Guanajuato,1579803,21.11972,-101.68056,25.0,29.0,24.0,16.0,22.0,15.0,8.0,16.0,7.0
Puebla,Puebla,1542232,19.04528,-98.1975,23.0,24.0,22.0,14.0,18.0,13.0,7.0,13.0,6.0
Ciudad Juárez,Chihuahua,1501551,31.73944,-106.48694,19.0,36.0,15.0,11.0,29.0,8.0,4.0,22.0,2.0
Guadalajara,Jalisco,1385621,20.67639,-103.34222,26.0,29.0,24.0,16.0,22.0,14.0,6.0,16.0,6.0
Zapopan,Jalisco,1257547,20.72056,-103.38833,26.0,29.0,24.0,16.0,22.0,14.0,6.0,17.0,6.0
Monterrey,Nuevo León,1142952,25.67139,-100.30861,24.0,34.0,22.0,17.0,28.0,15.0,12.0,23.0,11.0
Ciudad Nezahualcóyotl,State of Mexico,1072676,19.4,-98.98889,23.0,24.0,22.0,16.0,18.0,14.0,8.0,14.0,7.0
Chihuahua,Chihuahua,925762,28.63528,-106.08889,21.0,34.0,18.0,11.0,27.0,9.0,3.0,18.0,1.0
Mérida,Yucatán,921771,20.96778,-89.62167,31.0,34.0,29.0,24.0,28.0,24.0,19.0,24.0,19.0
Naucalpan,State of Mexico,911168,19.47528,-99.23778,23.0,24.0,21.0,14.0,18.0,13.0,7.0,13.0,6.0
Cancún,Quintana Roo,888797,21.16056,-86.8475,28.0,31.0,28.0,24.0,28.0,24.0,20.0,25.0,21.0
Saltillo,Coahuila,864431,25.43333,-101.0,21.0,28.0,19.0,13.0,22.0,12.0,7.0,16.0,6.0
Aguascalientes,Aguascalientes,863893,21.88083,-102.29611,24.0,28.0,22.0,14.0,22.0,13.0,5.0,14.0,4.0
Hermosillo,Sonora,855563,29.09889,-110.95417,27.0,39.0,24.0,18.0,32.0,16.0,10.0,24.0,9.0
Mexicali,Baja California,854186,32.66333,-115.46778,23.0,39.0,21.0,16.0,31.0,13.0,9.0,22.0,7.0
San Luis Potosí,San Luis Potosí,845941,22.14972,-100.975,23.0,27.0,21.0,14.0,21.0,13.0,7.0,14.0,6.0
Culiacán,Sinaloa,808416,24.79194,-107.39806,29.0,36.0,28.0,20.0,29.0,20.0,13.0,24.0,14.0
Querétaro,Querétaro,794789,20.58806,-100.38806,24.0,28.0,23.0,16.0,21.0,14.0,7.0,15.0,6.0
Morelia,Michoacán,743275,19.70222,-101.18556,24.0,26.0,22.0,15.0,20.0,13.0,6.0,14.0,5.0
Chimalhuacán,State of Mexico,703215,19.4375,-98.95417,23.0,24.0,22.0,16.0,18.0,14.0,8.0,14.0,7.0
Reynosa,Tamaulipas,691557,26.09222,-98.27778,24.0,35.0,23.0,18.0,29.0,17.0,13.0,24.0,12.0
